Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
105,early,later,eye_open,Right_Parietal,theta,4-8Hz,15.863956310913,13.4517289017206,Decrease,244,0.00723749486912433,1
105,early,later,eye_open,Left_Occipital,theta,4-8Hz,15.9756611219852,13.3264494224171,Decrease,268,0.000747794274304567,1
105,early,later,eye_open,Right_Occipital,theta,4-8Hz,15.9432105643076,13.3547938282744,Decrease,260,0.00167307472215232,1
105,early,later,eye_closed,Left_Frontal,theta,4-8Hz,14.7450581850615,13.9094272273356,Decrease,192,0.230139340443417,0
105,early,later,eye_closed,Right_Frontal,theta,4-8Hz,14.7198114574541,13.6545795076922,Decrease,210,0.0864762654936657,0
105,early,later,eye_closed,Left_Temporal,theta,4-8Hz,14.7802214479526,13.7497882369125,Decrease,206,0.109598583399116,0
105,early,later,eye_closed,Right_Temporal,theta,4-8Hz,14.4631795639355,13.4580509689011,Decrease,200,0.15312745101967,0
105,early,later,eye_closed,Left_Parietal,theta,4-8Hz,14.7609182594452,13.6948302368186,Decrease,209,0.0918508439618684,0
105,early,later,eye_closed,Right_Parietal,theta,4-8Hz,14.4944112130232,13.4607346687154,Decrease,203,0.129953390214931,0
105,early,later,eye_closed,Left_Occipital,theta,4-8Hz,14.6311711490695,13.6347499264247,Decrease,202,0.137354710336186,0
105,early,later,eye_closed,Right_Occipital,theta,4-8Hz,14.555561456105,13.5991225241924,Decrease,197,0.179318236045376,0
105,early,later,eye_open,Left_Frontal,alpha,9-13Hz,13.2444331039338,12.9961796478438,Decrease,167,0.627169753539399,0
105,early,later,eye_open,Right_Frontal,alpha,9-13Hz,13.9787353389948,12.3041662102607,Decrease,244,0.00723749486912433,1
105,early,later,eye_open,Left_Temporal,alpha,9-13Hz,13.6276028876528,12.8808638352124,Decrease,185,0.317310507862914,0
105,early,later,eye_open,Right_Temporal,alpha,9-13Hz,13.9364232424341,12.4931480188844,Decrease,215,0.0632908322333453,0
105,early,later,eye_open,Left_Parietal,alpha,9-13Hz,13.7523396385105,12.7663717638844,Decrease,191,0.241426553382044,0
105,early,later,eye_open,Right_Parietal,alpha,9-13Hz,13.910252803036,12.5141759444905,Decrease,205,0.116083133738655,0
105,early,later,eye_open,Left_Occipital,alpha,9-13Hz,13.8307609975819,12.6826804060898,Decrease,197,0.179318236045376,0
105,early,later,eye_open,Right_Occipital,alpha,9-13Hz,13.8607231646871,12.6243499458487,Decrease,199,0.161513318467542,0
105,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,16.003633372002,13.9575120818124,Decrease,248,0.00511026066085587,1
105,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,16.1143502689316,13.0353333911856,Decrease,290,6.33424836662399e-05,1
105,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,16.0421427941169,13.8683027227429,Decrease,246,0.00609071766246411,1
105,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,16.1549006883316,13.1794285896556,Decrease,287,9.06722201775833e-05,1
105,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,16.1109799397752,13.7879028095741,Decrease,254,0.0029641781671731,1
105,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,16.1203405728283,13.3545663171614,Decrease,282,0.000162315622571561,1
105,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,16.1436603240365,13.6646832933817,Decrease,273,0.000440938267949365,1
105,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,16.1437473801385,13.5665097985841,Decrease,275,0.000355039380746942,1
106,early,later,eye_open,Left_Frontal,theta,4-8Hz,14.4779507810538,14.4029880324533,Decrease,152,0.954431397113681,0
106,early,later,eye_open,Right_Frontal,theta,4-8Hz,13.6746176542027,13.7649406638159,Increase,145,0.886403006367064,0
106,early,later,eye_open,Left_Temporal,theta,4-8Hz,14.3627659101714,14.3426170649071,Decrease,144,0.863886790544927,0
106,early,later,eye_open,Right_Temporal,theta,4-8Hz,13.9459797441418,13.9307129595084,Decrease,142,0.819202033401183,0
106,early,later,eye_open,Left_Parietal,theta,4-8Hz,14.2554157346234,14.1496641069641,Decrease,150,1,0
106,early,later,eye_open,Right_Parietal,theta,4-8Hz,13.9350720668391,13.9720614828488,Increase,143,0.841480581121794,0
106,early,later,eye_open,Left_Occipital,theta,4-8Hz,14.1772031561804,14.0751489491714,Decrease,152,0.954431397113681,0
106,early,later,eye_open,Right_Occipital,theta,4-8Hz,14.1003049128874,14.0568727731569,Decrease,150,1,0
106,early,later,eye_closed,Left_Frontal,theta,4-8Hz,14.2103259822266,13.6259411800412,Decrease,173,0.51108906411744,0
106,early,later,eye_closed,Right_Frontal,theta,4-8Hz,14.3061271044184,13.4766925088029,Decrease,185,0.317310507862914,0
