Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
105,early,eye_open,Left_Frontal,theta,4-8Hz,16.2033697295692,2.04329681097488,24
105,later,eye_open,Left_Frontal,theta,4-8Hz,12.9241559609836,1.92741550484548,24
105,early,eye_open,Right_Frontal,theta,4-8Hz,15.8588794452106,2.56739690097436,24
105,later,eye_open,Right_Frontal,theta,4-8Hz,13.5985181073229,1.95159837347564,24
105,early,eye_open,Left_Temporal,theta,4-8Hz,16.1347606606319,2.29552548689274,24
105,later,eye_open,Left_Temporal,theta,4-8Hz,13.1147327809171,1.87115790852367,24
105,early,eye_open,Right_Temporal,theta,4-8Hz,15.8430614526931,2.6229313487136,24
105,later,eye_open,Right_Temporal,theta,4-8Hz,13.4834376439137,1.84045418672388,24
105,early,eye_open,Left_Parietal,theta,4-8Hz,16.0469735189009,2.46075861432414,24
105,later,eye_open,Left_Parietal,theta,4-8Hz,13.2367113623554,1.8438756720082,24
105,early,eye_open,Right_Parietal,theta,4-8Hz,15.863956310913,2.60676871184821,24
105,later,eye_open,Right_Parietal,theta,4-8Hz,13.4517289017206,1.83930106986595,24
105,early,eye_open,Left_Occipital,theta,4-8Hz,15.9756611219852,2.5444112173259,24
105,later,eye_open,Left_Occipital,theta,4-8Hz,13.3264494224171,1.80833189705644,24
105,early,eye_open,Right_Occipital,theta,4-8Hz,15.9432105643076,2.57097554812696,24
105,later,eye_open,Right_Occipital,theta,4-8Hz,13.3547938282744,1.82005593354361,24
105,early,eye_closed,Left_Frontal,theta,4-8Hz,14.7450581850615,2.08528080847992,24
105,later,eye_closed,Left_Frontal,theta,4-8Hz,13.9094272273356,1.73960454809721,24
105,early,eye_closed,Right_Frontal,theta,4-8Hz,14.7198114574541,2.0245480553598,24
105,later,eye_closed,Right_Frontal,theta,4-8Hz,13.6545795076922,1.5889478494045,24
105,early,eye_closed,Left_Temporal,theta,4-8Hz,14.7802214479526,2.03098886393569,24
105,later,eye_closed,Left_Temporal,theta,4-8Hz,13.7497882369125,1.70045929491672,24
105,early,eye_closed,Right_Temporal,theta,4-8Hz,14.4631795639355,2.09385411497644,24
105,later,eye_closed,Right_Temporal,theta,4-8Hz,13.4580509689011,1.69798586070928,24
105,early,eye_closed,Left_Parietal,theta,4-8Hz,14.7609182594452,2.03820323866157,24
105,later,eye_closed,Left_Parietal,theta,4-8Hz,13.6948302368186,1.59939879193528,24
105,early,eye_closed,Right_Parietal,theta,4-8Hz,14.4944112130232,2.11780324156993,24
105,later,eye_closed,Right_Parietal,theta,4-8Hz,13.4607346687154,1.72298948591173,24
105,early,eye_closed,Left_Occipital,theta,4-8Hz,14.6311711490695,2.12579120279417,24
105,later,eye_closed,Left_Occipital,theta,4-8Hz,13.6347499264247,1.53789215518128,24
105,early,eye_closed,Right_Occipital,theta,4-8Hz,14.555561456105,2.16058230657544,24
105,later,eye_closed,Right_Occipital,theta,4-8Hz,13.5991225241924,1.5510419480954,24
105,early,eye_open,Left_Frontal,alpha,9-13Hz,13.2444331039338,2.66345730377456,24
105,later,eye_open,Left_Frontal,alpha,9-13Hz,12.9961796478438,1.75385165257563,24
105,early,eye_open,Right_Frontal,alpha,9-13Hz,13.9787353389948,2.24063012869205,24
105,later,eye_open,Right_Frontal,alpha,9-13Hz,12.3041662102607,2.21242074228665,24
105,early,eye_open,Left_Temporal,alpha,9-13Hz,13.6276028876528,2.48709355277652,24
105,later,eye_open,Left_Temporal,alpha,9-13Hz,12.8808638352124,1.83092903180397,24
105,early,eye_open,Right_Temporal,alpha,9-13Hz,13.9364232424341,2.26909989205706,24
105,later,eye_open,Right_Temporal,alpha,9-13Hz,12.4931480188844,2.12981716587739,24
105,early,eye_open,Left_Parietal,alpha,9-13Hz,13.7523396385105,2.39864732388092,24
105,later,eye_open,Left_Parietal,alpha,9-13Hz,12.7663717638844,1.96138076120105,24
105,early,eye_open,Right_Parietal,alpha,9-13Hz,13.910252803036,2.29244900607895,24
105,later,eye_open,Right_Parietal,alpha,9-13Hz,12.5141759444905,2.1407200588386,24
105,early,eye_open,Left_Occipital,alpha,9-13Hz,13.8307609975819,2.34540503070105,24
105,later,eye_open,Left_Occipital,alpha,9-13Hz,12.6826804060898,2.02219189782659,24
105,early,eye_open,Right_Occipital,alpha,9-13Hz,13.8607231646871,2.32690333374115,24
105,later,eye_open,Right_Occipital,alpha,9-13Hz,12.6243499458487,2.06909398324945,24
105,early,eye_closed,Left_Frontal,alpha,9-13Hz,16.003633372002,1.74125615229906,24
105,later,eye_closed,Left_Frontal,alpha,9-13Hz,13.9575120818124,2.46264532175198,24
105,early,eye_closed,Right_Frontal,alpha,9-13Hz,16.1143502689316,1.98737654844477,24
105,later,eye_closed,Right_Frontal,alpha,9-13Hz,13.0353333911856,1.59005970741117,24
105,early,eye_closed,Left_Temporal,alpha,9-13Hz,16.0421427941169,1.95886220210945,24
105,later,eye_closed,Left_Temporal,alpha,9-13Hz,13.8683027227429,2.25491749637054,24
105,early,eye_closed,Right_Temporal,alpha,9-13Hz,16.1549006883316,2.00854411774222,24
105,later,eye_closed,Right_Temporal,alpha,9-13Hz,13.1794285896556,1.92536173353345,24
105,early,eye_closed,Left_Parietal,alpha,9-13Hz,16.1109799397752,1.92376444427926,24
105,later,eye_closed,Left_Parietal,alpha,9-13Hz,13.7879028095741,2.10607490191166,24
105,early,eye_closed,Right_Parietal,alpha,9-13Hz,16.1203405728283,2.06317438427281,24
105,later,eye_closed,Right_Parietal,alpha,9-13Hz,13.3545663171614,1.86579583247858,24
105,early,eye_closed,Left_Occipital,alpha,9-13Hz,16.1436603240365,1.94901822297802,24
105,later,eye_closed,Left_Occipital,alpha,9-13Hz,13.6646832933817,1.95339117341102,24
105,early,eye_closed,Right_Occipital,alpha,9-13Hz,16.1437473801385,1.98097256411526,24
105,later,eye_closed,Right_Occipital,alpha,9-13Hz,13.5665097985841,1.90909493608386,24
106,early,eye_open,Left_Frontal,theta,4-8Hz,14.4779507810538,2.08414679825428,24
106,later,eye_open,Left_Frontal,theta,4-8Hz,14.4029880324533,1.60560996939953,24
